table_name,total_rows,sampled,analyzed_rows,column_count,issues_found,columns_with_issues,status,duration_seconds,audit_timestamp,table_type,created_time,partition_column,partition_type,clustering_columns
fct_avaibility_part,3877353,true,10000,14,2,2,WARNING,4.020537,2025-10-31 14:07:08 UTC,BASE TABLE,2025-10-22 09:22:21.004000+00:00,collected_at,TIME,station_code
dim_station,1587,false,1587,9,1,1,WARNING,2.506333,2025-10-31 14:07:11 UTC,BASE TABLE,2025-10-31 01:00:45.352000+00:00,"","",""
