table_name,total_rows,sampled,analyzed_rows,column_count,issues_found,columns_with_issues,status,duration_seconds,audit_timestamp,table_type,created_time,partition_column,partition_type,clustering_columns
fct_avaibility_part,3877353,true,10000,13,4,2,WARNING,0.06,2025-10-23T15:26:48.635884,BASE TABLE,2025-10-22 09:22:21.004000+00:00,collected_at,TIME,station_code
dim_station,1587,false,1587,9,4,3,WARNING,0.01,2025-10-23T15:27:01.580331,BASE TABLE,2025-10-23 01:00:38.732000+00:00,"","",""
dtm_station_distance,2516982,true,10000,5,4,2,WARNING,0.03,2025-10-23T15:27:15.491900,BASE TABLE,2025-10-23 01:00:45.068000+00:00,"","",""
