table_name,total_rows,sampled,analyzed_rows,column_count,issues_found,columns_with_issues,status,duration_seconds,audit_timestamp,table_type,created_time,partition_column,partition_type,clustering_columns
fct_avaibility_part,3877353,true,10000,13,2,1,WARNING,0.05,2025-10-23T15:14:56.937816,BASE TABLE,2025-10-22 09:22:21.004000+00:00,collected_at,TIME,station_code
dim_station,1587,false,1587,9,4,3,WARNING,0.02,2025-10-23T15:15:10.309272,BASE TABLE,2025-10-23 01:00:38.732000+00:00,"","",""
dtm_station_distance,2516982,true,10000,5,4,2,WARNING,0.03,2025-10-23T15:15:25.080867,BASE TABLE,2025-10-23 01:00:45.068000+00:00,"","",""
